,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,97283,69273,4263,7587,101,86381,1392,34409,30700,4963,47635
1,76981,54929,4019,6838,131,72851,1492,28071,29973,4129,40894
2,85605,66626,3963,6095,74,76195,1035,29804,28867,3993,44046
3,94300,66955,4875,7120,125,86132,1687,33599,31452,4421,46362
4,83661,65151,4570,7595,103,86509,1626,32345,31101,4652,46627
5,86730,69448,4787,7797,105,83259,1646,33388,38113,5226,47799
