,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,952,764,58,170,1,1203,28,359,401,64,528
1,2403,1874,125,307,1,3124,44,892,768,151,1102
2,821,617,69,166,1,1069,33,331,370,64,457
3,840,711,68,138,2,1208,23,310,313,74,393
4,1341,971,74,221,1,1595,36,514,466,79,584
5,1632,1339,106,240,2,2118,39,588,584,118,759
