,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,16688,12691,592,1140,0,15379,165,5962,5864,761,10084
1,46390,33788,1338,2612,1,44758,385,16029,13978,2183,22320
2,13926,9547,817,1451,2,14100,291,5348,5956,781,9671
3,14258,12089,813,1294,11,17220,225,5118,5166,1243,7903
4,29383,17346,918,2346,4,25474,397,9919,8428,1274,13670
5,36922,28397,1462,2778,14,37507,478,12625,11520,2097,18178
