,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,1632,1339,106,240,2,2118,39,588,584,118,759
1,1810,1355,103,252,2,2240,36,656,553,95,835
2,1408,1041,91,253,3,1795,37,530,524,105,614
3,1827,1514,122,270,3,2421,45,713,644,122,848
4,2293,1755,153,352,3,2981,55,920,831,153,1153
5,1682,1273,128,235,4,2197,49,571,642,127,738
