,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,1970,1647,201,283,11,2605,71,864,830,148,927
1,1700,1397,207,259,12,2321,84,718,806,157,861
2,1657,1432,186,231,5,2264,55,732,704,119,850
3,1780,1522,197,246,11,2425,72,763,782,141,892
4,1779,1562,207,257,5,2580,79,828,801,147,930
5,1820,1619,245,270,9,2516,84,861,917,151,978
