,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,63504,46430,1331,1373,-14,51233,304,20850,17631,2871,32529
1,74364,50462,1563,1992,-12,57992,227,25554,16797,2690,40645
2,46899,24329,1140,1391,-38,34287,396,14631,12016,2012,21712
3,71244,49405,1429,2572,-35,58295,227,25356,20088,3092,37584
4,94117,64546,2140,3403,-1,82785,412,34019,27002,4223,55854
5,67068,39877,1732,1938,14,50312,365,20690,19443,3132,30533
