,ave_age_Action,ave_age_Adventure,ave_age_Early+Access,ave_age_Ex+Early+Access,ave_age_Free,ave_age_Indie,ave_age_Massively,ave_age_RPG,ave_age_Simulation,ave_age_Sports,ave_age_Strategy
0,39.424608819345664,34.891285591026744,16.53125,16.822222222222223,5.75,25.129147524247063,13.977272727272727,36.87096774193548,31.308474576271188,24.28440366972477,44.69481481481481
1,45.00300902708124,38.14948764315853,15.975460122699387,17.846153846153847,1.2,29.098779134295228,10.178571428571429,37.31241997439181,35.34639696586599,26.345070422535212,48.43270300333704
2,41.3526405451448,37.70564516129032,22.81981981981982,17.232394366197184,3.6666666666666665,25.36505948653726,14.236842105263158,39.166666666666664,32.58422174840085,19.951807228915662,48.410071942446045
3,45.718608169440245,39.62187210379982,17.62135922330097,18.075555555555557,3.2,26.153890824622533,11.934426229508198,37.13533834586466,32.38659793814433,26.99,49.13525179856115
4,46.25773195876289,41.2832469775475,20.296296296296298,19.558035714285715,5.0,26.581725312145288,14.5,39.88,34.0,24.67032967032967,48.627245508982035
5,41.14565387627251,32.225650916104144,17.159663865546218,18.639830508474578,2.0,25.70608108108108,14.547169811320755,35.746880570409985,28.158362989323845,26.4,43.738058551617875
6,45.57059206245933,40.66770428015564,18.462184873949578,20.902834008097166,4.0,28.88463476070529,11.2,34.38057324840764,36.12874251497006,30.68867924528302,48.742657342657346
7,46.38898862956314,36.846710050614604,17.22,20.219081272084807,2.0,27.4364896073903,12.06060606060606,36.28936170212766,28.968526466380542,26.660714285714285,44.59483870967742
8,43.448303715670434,37.92162417374882,17.347457627118644,21.42713567839196,7.428571428571429,28.378691372321946,14.216666666666667,37.880782918149464,35.37364620938628,22.9390243902439,50.641447368421055
9,48.30952380952381,41.26661129568107,17.340425531914892,21.665178571428573,4.777777777777778,29.400328587075574,15.229508196721312,41.63823064770932,38.62035541195477,26.931372549019606,48.136887608069166
10,55.66601752677702,52.81752701080432,22.85185185185185,24.524861878453038,8.0,34.165529010238906,18.20408163265306,40.87104622871046,45.60909090909091,40.25,58.734375
11,47.078835978835976,42.0,17.945945945945947,24.30111524163569,5.923076923076923,30.286556603773583,14.397727272727273,41.026315789473685,36.64733727810651,27.178571428571427,47.52603613177471
