,ID,Game,ReleaseDate,Developer,Publisher
95,505110,Ghost Pursuit VR,2017-09-01,0,Raf1Dev
96,381120,Shoppe Keep,2016-05-20,0,Strange Fire
97,967130,XWidget,2018-11-19,0,XDesktopSoft
98,521920,Death's Hangover,2017-01-20,0,Retro Army Limited
99,473140,BomberZone,2016-05-27,0,Dracula Bytes
100,357770,The District,2017-12-10,0,DistrictTeam
101,326520,Chime Sharp,2016-07-19,0,"Ste Curran, Twistplay"
102,747650,The Padre,2019-04-18,0,Shotgun with Glitters
103,757810,Mahlone One,2017-12-16,0,VM World Studio
104,495350,Woodle Tree 2: Worlds,2016-09-16,0,Fabio Ferrara
105,450850,Cube Land Arena,2016-03-29,0,"Jaison Robson Gusava, SC Jogos"
106,301120,Eastside Hockey Manager,2015-12-01,0,Sports Interactive
107,253610,Wrack,2014-09-30,0,Final Boss Entertainment
108,851100,Touhou Luna Nights,2019-02-25,0,"Vaka Game Magazine, Team Ladybug"
109,665930,Rock 'N Roll,2017-08-28,0,ZaxtorGameS
110,420910,Store Manager: Cellular Edition,2017-03-31,0,Vue Simulations
111,386510,Pyramid Raid,2015-12-15,0,Travian Games GmbH
112,606230,Thea 2: The Shattering,2019-05-13,0,"MuHa Games, Eerie Forest Studio"
113,542400,Pixel Gladiator,2017-09-08,0,Flying Islands Team
114,400450,NeuroVoider,2016-08-31,0,Flying Oak Games
115,369550,Blacksea Odyssey,2016-06-01,0,Blacksea Odyssey
116,238240,Edge of Space,2015-09-17,0,Handyman Studios
117,562730,MechDefender,2020-03-03,0,Badim
118,506500,Party Panic,2017-08-07,0,Everglow Interactive Inc.
119,381260,Orion Trail,2015-10-12,0,Schell Games
120,977500,克苏鲁异闻录,2019-08-28,0,LLC Blini Games
121,522210,Serial Cleaner,2017-07-14,0,Draw Distance
122,475430,Kimulator : Fight for your destiny,2016-06-20,0,Bmc Studio
123,358130,Curious Expedition,2016-09-02,0,Maschinen-Mensch
124,327860,Salt,2018-02-06,0,Lavaboots Studios
125,1000080,Zengeon,2019-06-24,0,IndieLeague Studio
126,522590,Near Midnight,2016-12-15,0,Indie Dynamics
127,475530,Go Go Electric Samurai,2017-08-14,0,"Hexagon Games, NAMI TENTOU"
128,360170,How to Survive 2,2016-09-08,0,Eko Software
129,327890,I am Bread,2015-04-09,0,Bossa Studios
130,287900,Pro Pinball Ultra,2016-07-21,0,Barnstorm Games
131,758100,E-Startup,2018-04-26,0,Polytale
132,495580,Divided We Fall: Play For Free,2017-10-02,0,KAVA Game Studio
133,450860,Andarilho,2017-05-05,0,SC Jogos
134,409040,Herolike,2016-02-19,0,Games Hut
135,301520,Robocraft,2017-08-24,64,Freejam
136,223830,Xenonauts,2014-06-16,0,Goldhawk Interactive
137,254320,Duskers,2016-05-18,0,Misfits Attic
138,851800,G2 Fighter / 基因特工,2018-10-12,0,Orbit Games
139,581200,Nash Racing,2017-08-02,0,Tero Lunkka
140,422020,Dark Days,2016-06-03,0,Brutal Studio
141,386710,C:\raft,2017-10-02,0,Nicholas Hydock
142,274230,RONIN,2015-06-30,0,Tomasz Wacławek
143,608110,Null Vector,2018-05-03,0,Optical Override
144,543380,Empire of the Fallen Steel,2017-12-18,0,FutureVisionsGames
145,401810,Poi,2017-02-01,0,PolyKid
146,369560,The Story Goes On,2018-03-02,0,Scarecrow Arts
147,242680,Nuclear Throne,2015-12-05,144,Vlambeer
148,563120,Desolate Wastes: Vendor Chronicles,2017-07-21,19,Rotatipyra
149,506540,Last Man Standing,2017-03-29,0,"Free Reign Entertainment, Free Reign Entertainment"
150,382050,Eon Altar,2016-06-22,0,Flying Helmet Games
151,346370,Into The War,2015-12-02,0,Small Town Studios
152,346610,Racecraft,2016-03-04,0,Sandbox Games
153,1010860,Hide and Seek,2019-02-01,0,Funny Games
154,523740,Techwars: Global Conflict,2018-10-01,0,Argus Games
155,476020,Reflection of Mine,2017-02-24,0,Redblack Spade
156,328070,Reflex Arena,2014-11-04,0,Turbo Pixel Studios
157,287980,Mini Metro,2015-11-06,0,Dinosaur Polo Club
158,771680,Shield Impact,2018-08-29,0,Magitech Games
159,452060,Caveblazers,2017-05-24,0,Deadpan Games
160,409490,Rogue Harvest,2018-04-16,0,Genetix Studio
161,224500,Gnomoria,2016-02-23,0,Robotronic Games
162,260430,The Four Kings Casino and Slots,2015-06-01,264,Digital Leisure Inc.
163,666310,Space of Darkness,2018-07-10,0,PilotLumpa Gaming
164,581630,Sword With Sauce,2018-03-20,7,Diatomic Games
165,423620,HERO DEFENSE,2016-05-31,0,Happy Tuesday
166,386750,Cashtronauts,2016-09-01,0,Simon Prefontaine
167,610310,Star Story: The Horizon Escape,2017-09-05,0,EvilCoGames
168,402220,Lift It,2017-01-20,0,89AM Studio
169,369990,"Gremlins, Inc.",2016-03-10,1,"Alexey Bokulev, Sergei Klimov, Charlie Oscar Lima Tango Interactive Entertainment"
170,242840,In Verbis Virtus,2015-04-03,0,Indomitus Games
171,564210,Fishermurs,2017-06-13,0,Reward Hunters
172,506730,Dinosaur Forest,2017-05-17,0,Racing Bros
173,382260,8Bit Fiesta - Party Game,2016-09-30,0,Linus Fredriksson
174,567060,Putrefaction 2: Void Walker,2017-05-29,0,Kazakov Oleg
175,506870,Unexplored,2017-02-22,0,Ludomotion
176,382300,Kidnapped,2015-08-04,0,"Deceptive Games, Gavin Powell"
177,347160,Steredenn,2015-10-01,0,Pixelnest Studio
178,319830,AX:EL - Air XenoDawn,2015-12-04,0,Alex Piola
179,1014730,Cyndy,2019-05-16,0,DreamBig Games
180,523960,TENET,2018-08-27,0,ALTER-BOY
181,476030,Johnny Graves—The Unchosen One,2017-04-06,0,Stupid Stupid Games
182,437220,The Culling,2017-10-05,0,Xaviant
183,328220,Wild Season,2015-12-07,0,Quickfire Games
184,288220,Backstage Pass,2016-08-22,0,sakevisual
185,772540,Battle Royale Trainer,2018-01-04,0,Trickjump Games Ltd
186,628770,Tangledeep,2018-02-01,0,Impact Gameworks
187,452320,Party Saboteurs: After Party,2016-03-31,0,"The Glitch Factory, Seize Studios"
188,409560,Run Rabbit Run,2016-03-31,0,FLAT12
189,226100,PixelJunk Nom Nom Galaxy,2015-08-03,0,Q-Games Ltd.
190,261490,Bedlam,2015-10-13,0,RedBedlam
191,667810,Next Up Hero,2018-06-28,0,Digital Continue
192,581980,Candy Machine,2017-04-24,0,Colossal Wreck
193,387060,Earth Overclocked,2015-12-04,0,Chronicle Bench
194,274520,Darkwood,2017-08-17,0,Acid Wizard Studio
195,610500,Willy-Nilly Knight,2017-11-10,0,Double Dice Games
196,544920,Darwin Project,2020-01-13,0,Scavengers Studio
197,402310,Overfall,2016-03-01,0,"Pera Games, Gathering Tree"
198,370360,TIS-100,2015-07-20,0,Zachtronics
199,242860,Verdun,2015-04-28,0,"M2H, Blackmill Games"
200,546070,Flower Design,2017-01-10,0,PanGuoJun
201,402330,Press X to Not Die,2017-10-06,0,All Seeing Eye Games
202,370870,Dark Future: Blood Red States,2019-05-16,0,Auroch Digital
203,567200,Incorp Inc,2017-04-03,0,HJO Creations
204,507120,The Superfluous,2017-05-19,0,Voided Pixels
205,348460,Bierzerkers,2016-02-25,0,Shield Break Studios
206,319910,Trine 3: The Artifacts of Power,2015-08-20,0,Frozenbyte
207,1045720,The Coma 2: Vicious Sisters,2020-01-28,0,Devespresso Games
208,477170,Chamber 19,2016-05-23,0,"Deepak M., Grant B."
209,437870,Earth Space Colonies,2016-07-01,0,Persona and Pixel studio
210,328760,SanctuaryRPG: Black Edition,2015-02-13,0,Black Shell Games
211,289760,ROCKETSROCKETSROCKETS,2015-05-01,0,"Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen"
212,773951,Freeman: Guerrilla Warfare,2018-02-01,0,KK Game Studios
213,629220,Rise of Insanity,2018-03-01,0,Red Limb Studio
214,453090,Parkitect,2018-11-29,105,Texel Raptor
215,410340,Liftoff: FPV Drone Racing,2018-09-13,0,LuGus Studios
216,226860,Galactic Civilizations III,2015-05-14,0,Stardock Entertainment
217,667880,Dog Theatre,2018-01-29,0,Kyon Games
218,586130,Survival Driver,2017-08-15,0,"Tero Lunkka, Mikko Seppälä"
219,423810,Marooners,2016-09-15,0,M2H
220,387840,Alpha Runner,2015-09-02,0,LightsoutGames
221,274620,Skara - The Blade Remains,2017-02-03,0,Atomic Kraken
222,610840,JASEM: Just Another Shooter with Electronic Music,2017-10-19,0,Stas Shostak
223,611140,Dark Passenger,2017-04-26,0,Idea Cabin
224,546400,Cavern Escape Extremely Hard game!!!,2017-02-20,0,White Dog
225,402530,The Last Door: Season 2 - Collector's Edition,2016-03-29,0,The Game Kitchen
226,371100,Waste Walkers,2015-06-01,0,Corrosive Studios LLC
227,340360,Tomb of Tyrants,2015-06-25,0,Jake Huhman
228,569130,Revenge Quest,2017-08-14,0,Fyn Games
229,507400,Vindictive Drive,2017-05-15,0,Secret Society Games
230,464350,Screeps,2016-11-16,0,Screeps
231,348670,Immune - True Survival,2016-12-09,0,vidiludi games and entertainment
232,320340,Cosmonautica,2015-07-31,0,Chasing Carrots
233,477730,Eador. Imperium,2017-01-27,0,Snowbird Games
234,438000,PIXELMAN,2018-02-28,0,Kindermann Corp.
235,328940,The Deer God,2015-02-27,0,"Crescent Moon Games, Cinopt Studios"
236,290000,DubWars,2016-07-19,0,MURA Interactive
237,629410,VectorWave,2017-11-16,0,Fizzure Entertainment
238,453960,Envy the Dead,2016-09-12,0,Kazakov Oleg
239,410840,Rock God Tycoon,2017-02-13,0,"Sebastian Nigro, Panos Tzimas"
240,307110,We Need To Go Deeper,2019-08-01,0,Deli Interactive LLC
241,227060,Hegemony Rome: The Rise of Caesar,2014-05-15,0,Longbow Games
242,263060,Blockstorm,2015-05-21,0,GhostShark
243,668610,Lords of War,2018-12-26,0,WeMakeApp Studio
244,587390,LOR - League of Runners,2018-04-06,0,Strong Cube
245,424830,Bell Ringer,2016-03-06,0,Night Node Software
