,ID,Game,ReleaseDate,Developer,Publisher
72,772480,Super Inefficient Golf,2018-03-15,34BigThings srl,34BigThings srl
73,621970,Trailblazers,2018-05-08,Supergonk,Rising Star Games
74,310880,Basketball Pro Management 2015,2014-11-19,"Umix Studios, Cyanide Studio",Bigben Interactive
75,300610,Pure Pool,2014-07-31,VooFoo Studios,Ripstone
76,348820,FIM Speedway Grand Prix 15,2015-11-30,SoftPlanet,SoftPlanet
77,345660,RIDE,2015-03-27,Milestone S.r.l.,Milestone S.r.l.
78,545270,NBA Playgrounds,2017-05-08,Saber Interactive,"Mad Dog Games, LLC"
79,477770,Ride 2,2016-10-07,Milestone S.r.l.,Milestone S.r.l.
80,936140,Pro Cycling Manager 2019,2019-06-27,Cyanide Studio,Bigben Interactive
81,621020,Antigraviator,2018-06-06,Cybernetic Walrus,Iceberg Interactive
82,1072500,AO Tennis 2,2020-01-09,Big Ant Studios,Bigben Interactive
83,664430,WWE 2K18,2017-10-17,"Visual Concepts, Yuke's Co., LTD",2K
84,465660,Franchise Hockey Manager 3,2016-10-31,Out of the Park Developments,Out of the Park Developments
85,458170,SpiritSphere DX,2017-01-23,Eendhoorn Games,Eendhoorn Games
86,408760,Pro Cycling Manager 2016,2016-06-16,Cyanide Studio,Focus Home Interactive
87,899390,Xenon Racer,2019-03-26,3DClouds,SOEDESCO Publishing
88,876190,Football Drama,2019-09-18,Open Lab Games & Demigiant,Open Lab Games
89,682810,GUTS,2017-11-14,Flux Game Studio,Libredia Entertainment
90,272890,Vertiginous Golf,2014-03-07,Kinelco &amp; Lone Elk Creative,Fellow Traveller
91,558260,Gravel,2018-02-27,Milestone S.r.l.,Milestone S.r.l.
92,314340,Chess 2: The Sequel,2014-08-19,"Ludeme Games, Sirlin Games",Ludeme Games
93,286570,F1 2015,2015-07-09,"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
94,226580,F1 2014,2014-10-16,Codemasters,Codemasters
95,510510,WWE 2K17,2017-02-06,"Visual Concepts, Yuke's Co., LTD",2K
96,390090,Shot Online,2019-01-21,WEBZEN ONNET,WEBZEN
97,767390,Dakar 18,2018-09-25,Bigmoon Entertainment,"Bigmoon Entertainment, Deep Silver"
98,243450,Urban Trial Freestyle,2013-09-18,Tate Multimedia,Tate Multimedia
99,529440,Behold the Kickmen,2017-07-20,Size Five Games,Size Five Games
100,389670,Pacer,2017-05-31,R8 Games Ltd,R8 Games Ltd
101,274880,Jet Car Stunts,2014-05-01,GRIP Digital s.r.o.,bitComposer Games
102,34180,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,2010-02-18,Eurocom,SEGA
103,405500,Dangerous Golf,2016-06-02,Three Fields Entertainment,Team17 Digital Ltd
104,251690,Speedball 2 HD,2013-12-05,"Bitmap Brothers, Vivid Games",Tower Studios Ltd
