,ID,Game,ReleaseDate,Developer,Publisher
68,477740,Zero Escape: The Nonary Games,2017-03-24,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
69,33230,Assassin's Creed 2 Deluxe Edition,2010-03-09,Ubisoft Montreal,Ubisoft
70,206420,Saints Row IV,2013-08-19,Deep Silver Volition,Deep Silver
71,416600,Full Metal Furies,2018-01-17,Cellar Door Games,"Cellar Door Games, Neowiz (Korea Marketing)"
72,257510,The Talos Principle,2014-12-11,Croteam,"Devolver Digital, Croteam"
73,528720,Shu,2016-10-04,"Coatsink, Secret Lunch",Coatsink
74,239030,"Papers, Please",2013-08-08,Lucas Pope,3909
75,13530,Prince of Persia: The Two Thrones,2008-11-21,Ubisoft Montreal,Ubisoft
76,402530,The Last Door: Season 2 - Collector's Edition,2016-03-29,The Game Kitchen,Phoenix Online Publishing
77,8290,Sam & Max 204: Chariots of the Dogs,2008-05-16,Telltale Games,Skunkape Games
78,220440,DmC: Devil May Cry,2013-01-24,Ninja Theory,Capcom
79,813630,Supraland,2019-04-05,Supra Games,Supra Games
80,600370,Paradigm,2017-04-05,Jacob Janerka,Jacob Janerka
81,557750,Giants: Citizen Kabuto,2016-12-02,Planet Moon Studios,Interplay
82,238460,BattleBlock Theater,2014-05-15,The Behemoth,The Behemoth
83,57300,Amnesia: The Dark Descent,2010-09-08,Frictional Games,Frictional Games
84,410710,System Shock: Enhanced Edition,2015-09-22,"Looking Glass Studios, Nightdive Studios",Nightdive Studios
85,40700,Machinarium,2009-10-16,Amanita Design,Amanita Design
86,250320,The Wolf Among Us,2013-10-11,"LCG Entertainment, Inc.","Athlon Games, Inc."
87,973760,Thronebreaker: The Witcher Tales,2018-11-09,CD PROJEKT RED,CD PROJEKT RED
88,31820,Nancy Drew: The Haunted Carousel,2009-10-10,HeR Interactive,HeR Interactive
89,571310,SteamWorld Dig 2,2017-09-22,Image & Form Games,Image & Form Games
90,241600,Rogue Legacy,2013-06-27,Cellar Door Games,Cellar Door Games
91,245450,Wizardry 8,2001-11-15,Sir-Tech Canada,"Gamepot, Inc., Nightdive Studios"
92,250760,Shovel Knight: Treasure Trove,2014-06-26,Yacht Club Games,Yacht Club Games
93,1072420,DRAGON QUEST BUILDERS 2,2019-12-10,"Square Enix, KOEI TECMO GAMES CO., LTD.",Square Enix
94,466300,Planescape: Torment: Enhanced Edition,2017-04-11,Beamdog,Beamdog
95,390290,Bulb Boy,2015-10-29,Bulbware,Bulbware
96,35720,Trine 2: Complete Story,2013-06-06,Frozenbyte,Frozenbyte
97,762830,Telling Lies,2019-08-23,"Sam Barlow, Furious Bee Limited",Annapurna Interactive
98,1116780,Shovel Knight: King of Cards,2019-12-10,Yacht Club Games,Yacht Club Games
99,311690,Enter the Gungeon,2016-04-05,Dodge Roll,Devolver Digital
100,8190,Just Cause 2,2010-03-23,Avalanche Studios,Square Enix
101,683320,GRIS,2018-12-13,Nomada Studio,Devolver Digital
102,559210,Rakuen,2017-05-10,Laura Shigihara,Laura Shigihara
103,897820,Reigns: Game of Thrones,2018-10-18,Nerial,Devolver Digital
104,814360,Mythic Ocean,2020-01-09,Paralune LLC,Paralune LLC
105,583470,The End Is Nigh,2017-07-12,"Edmund McMillen, Tyler Glaiel","Edmund McMillen, Tyler Glaiel"
106,381780,80 Days,2015-09-28,"inkle Ltd, Cape Guy Ltd",inkle Ltd
107,282140,SOMA,2015-09-21,Frictional Games,Frictional Games
108,316790,Grim Fandango Remastered,2015-01-26,Double Fine Productions,Double Fine Productions
109,557600,Gorogoa,2017-12-14,Buried Signal,Annapurna Interactive
110,362890,Black Mesa,2020-03-06,Crowbar Collective,Crowbar Collective
111,113200,The Binding of Isaac,2011-09-28,Edmund McMillen and Florian Himsl,Edmund McMillen
112,569860,Thimbleweed Park,2017-03-30,Terrible Toybox,Terrible Toybox
113,584400,Sonic Mania,2017-08-29,"Christian Whitehead, Headcannon, PagodaWest Games",SEGA
114,37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-08-25,Size Five Games,Size Five Games
