,ID,Game,ReleaseDate,Developer,Publisher
79,394690,Tower Unite,2016-04-08,PixelTail Games,PixelTail Games
80,638920,BeanVR—The Social VR APP,2017-05-31,Shenzhen BeanVR Technology Co.Ltd,Shenzhen BeanVR Technology Co.Ltd
81,635260,CarX Drift Racing Online,2017-11-17,"CarX Technologies, LLC","CarX Technologies, LLC"
82,531640,Eternal Card Game,2018-11-15,Dire Wolf,Dire Wolf
83,487120,Citadel: Forged with Fire,2019-11-01,"Blue Isle Studios, Virtual Basement LLC",Blue Isle Publishing
84,700030,Life is Feudal: MMO,2018-01-12,Bitbox Ltd.,Bitbox Ltd.
85,414530,Skyforge,2017-04-13,Allods Team,MY.GAMES
86,591530,Hyper Universe,2018-01-17,"CWave, Inc.",Nexon America Inc.
87,798420,Professional Fishing,2018-11-30,"MasterCode, Dueking",Ultimate Games S.A.
88,348670,Immune - True Survival,2016-12-09,vidiludi games and entertainment,vidiludi games and entertainment
89,604500,Tank Force,2017-10-23,Extreme Developers,Extreme Developers
90,547410,Peak Angle: Drift Online,2016-11-24,Peak Angle Team,
91,782670,Battle Tanks: Legends of World War II,2019-02-21,ExDevs LTD,ExDevs LTD
92,377140,Hide & Hold Out - H2o,2016-04-09,Red Abyss Software,Red Abyss Software
93,476480,Heaven Forest - VR MMO,2016-12-14,Fabio Ferrara,Chubby Pixel
94,1133430,Ashes of Creation Apocalypse,2019-09-24,"Intrepid Studios, Inc.","Intrepid Studios, Inc."
95,1049660,stein.world,2019-04-23,pg5-Studio,pg5-Studio
96,892510,Slay Together,2019-01-31,Owl Tribe Entertainment,Owl Tribe Entertainment
97,737390,Batch 17,2018-01-23,Baffled Games,Baffled Games
98,758880,RedSun RTS,2018-10-30,Yuri Eletskikh,redsungames
99,597920,Survivalizm - The Animal Simulator,2017-04-04,IronBoundManzer,IronBoundManzer
100,667050,SojournVR,2017-10-31,Detter Game Design LLC,Detter Game Design LLC
101,1175930,Ray Eager,2020-04-12,Saivs,Saivs
102,1198860,Snowballs,2019-12-06,Funny Games,Funny Games
103,1213470,封神策,2020-01-03,蝴蝶互动信息技术有限公司,蝴蝶互动信息技术有限公司
104,1046490,Action Entities,2019-04-12,+R+,+R+
105,29570,Guild Wars Trilogy,2008-09-25,ArenaNet®,NCsoft
106,1264400,CUBER STRIKE,2020-03-27,Alina Rodina,Alina Rodina
107,854400,EXCHANGE,2018-10-12,Self Destruction Games,threeW
108,852560,GUNS BATTLE ROYALE,2018-05-11,CREATIV GAME DEVELOPER LLC.,CREATIV GAME DEVELOPER LLC.
109,727860,Space Quiz,2017-10-27,Little Smart Planet,Little Smart Planet
110,466220,Kingdom of Loot,2017-04-14,EPICBEYOND Studios,EPICBEYOND Studios
111,523740,Techwars: Global Conflict,2017-12-21,Argus Games,"Promo Trade Toys LLC, Argus Games"
112,1015610,THE LAST PLAYER:VR Battle Royale,2019-08-07,Skyline Games,Skyline Games
