,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy,Others
0,2319,2040,184,269,13,3471,83,971,969,189,1169,684
1,2813,2448,282,387,14,4115,98,1192,1221,228,1346,702
2,2201,1987,236,328,13,3231,100,1016,1013,173,1171,525
3,3112,2787,360,372,19,4656,116,1450,1397,257,1584,665
4,2851,2515,366,355,14,4276,102,1267,1321,253,1490,555
5,2949,2693,406,333,12,4379,110,1348,1312,248,1588,584
