,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy,Others
0,1975,1649,203,283,11,2609,71,865,833,148,929,435
1,1701,1399,207,259,12,2322,84,718,807,158,861,342
2,1657,1433,186,231,5,2265,55,732,705,120,850,297
3,1780,1522,198,246,11,2426,72,763,783,141,893,301
4,1782,1563,208,257,5,2582,79,829,803,148,932,395
5,1823,1620,246,270,9,2518,84,862,919,152,979,321
