,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy,Others
0,1637,1341,106,240,2,2122,39,589,586,119,760,497
1,1812,1358,104,252,2,2243,36,656,556,96,837,527
2,1410,1045,91,253,3,1797,37,531,525,106,614,427
3,1829,1517,122,270,3,2423,45,713,646,123,849,589
4,2298,1761,155,352,3,2986,55,921,835,154,1156,729
5,1686,1277,130,235,4,2201,49,572,645,127,740,598
