,IV_count_Action,IV_count_Adventure,IV_count_Early+Access,IV_count_Ex+Early+Access,IV_count_Free,IV_count_Indie,IV_count_Massively,IV_count_RPG,IV_count_Simulation,IV_count_Sports,IV_count_Strategy,IV_count_Others
0,0,0,0,0,0,2122,0,0,586,119,760,0
1,0,0,0,0,0,2243,0,0,556,96,837,0
2,0,0,0,0,0,1797,0,0,525,106,614,0
3,0,0,0,0,0,2423,0,0,646,123,849,0
4,0,0,0,0,0,2986,0,0,835,154,1156,0
5,0,0,0,0,0,2201,0,0,645,127,740,0
6,0,0,0,0,0,2122,0,0,0,0,0,0
7,0,0,0,0,0,2243,0,0,0,0,0,0
8,0,0,0,0,0,1797,0,0,0,0,0,0
9,0,0,0,0,0,2423,0,0,0,0,0,0
10,0,0,0,0,0,2986,0,0,0,0,0,0
11,0,0,0,0,0,2201,0,0,0,0,0,0
12,1637,0,0,0,0,0,0,589,0,0,0,0
13,1812,0,0,0,0,0,0,656,0,0,0,0
14,1410,0,0,0,0,0,0,531,0,0,0,0
15,1829,0,0,0,0,0,0,713,0,0,0,0
16,2298,0,0,0,0,0,0,921,0,0,0,0
17,1686,0,0,0,0,0,0,572,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,760,0
19,0,0,0,0,0,0,0,0,0,0,837,0
20,0,0,0,0,0,0,0,0,0,0,614,0
21,0,0,0,0,0,0,0,0,0,0,849,0
22,0,0,0,0,0,0,0,0,0,0,1156,0
23,0,0,0,0,0,0,0,0,0,0,740,0
24,1637,0,0,0,0,0,0,0,0,0,0,0
25,1812,0,0,0,0,0,0,0,0,0,0,0
26,1410,0,0,0,0,0,0,0,0,0,0,0
27,1829,0,0,0,0,0,0,0,0,0,0,0
28,2298,0,0,0,0,0,0,0,0,0,0,0
29,1686,0,0,0,0,0,0,0,0,0,0,0
30,0,1341,0,0,0,2122,0,0,0,0,0,0
31,0,1358,0,0,0,2243,0,0,0,0,0,0
32,0,1045,0,0,0,1797,0,0,0,0,0,0
33,0,1517,0,0,0,2423,0,0,0,0,0,0
34,0,1761,0,0,0,2986,0,0,0,0,0,0
35,0,1277,0,0,0,2201,0,0,0,0,0,0
36,1637,0,0,0,0,0,0,589,0,0,0,0
37,1812,0,0,0,0,0,0,656,0,0,0,0
38,1410,0,0,0,0,0,0,531,0,0,0,0
39,1829,0,0,0,0,0,0,713,0,0,0,0
40,2298,0,0,0,0,0,0,921,0,0,0,0
41,1686,0,0,0,0,0,0,572,0,0,0,0
42,0,0,0,240,0,2122,0,589,0,0,0,0
43,0,0,0,252,0,2243,0,656,0,0,0,0
44,0,0,0,253,0,1797,0,531,0,0,0,0
45,0,0,0,270,0,2423,0,713,0,0,0,0
46,0,0,0,352,0,2986,0,921,0,0,0,0
47,0,0,0,235,0,2201,0,572,0,0,0,0
48,0,1341,0,240,0,2122,0,589,0,0,0,0
49,0,1358,0,252,0,2243,0,656,0,0,0,0
50,0,1045,0,253,0,1797,0,531,0,0,0,0
51,0,1517,0,270,0,2423,0,713,0,0,0,0
52,0,1761,0,352,0,2986,0,921,0,0,0,0
53,0,1277,0,235,0,2201,0,572,0,0,0,0
54,1637,0,0,0,0,2122,0,0,0,0,0,0
55,1812,0,0,0,0,2243,0,0,0,0,0,0
56,1410,0,0,0,0,1797,0,0,0,0,0,0
57,1829,0,0,0,0,2423,0,0,0,0,0,0
58,2298,0,0,0,0,2986,0,0,0,0,0,0
59,1686,0,0,0,0,2201,0,0,0,0,0,0
60,0,0,0,0,0,2122,0,0,0,0,0,0
61,0,0,0,0,0,2243,0,0,0,0,0,0
62,0,0,0,0,0,1797,0,0,0,0,0,0
63,0,0,0,0,0,2423,0,0,0,0,0,0
64,0,0,0,0,0,2986,0,0,0,0,0,0
65,0,0,0,0,0,2201,0,0,0,0,0,0
66,1637,0,0,0,0,2122,0,0,0,0,0,0
67,1812,0,0,0,0,2243,0,0,0,0,0,0
68,1410,0,0,0,0,1797,0,0,0,0,0,0
69,1829,0,0,0,0,2423,0,0,0,0,0,0
70,2298,0,0,0,0,2986,0,0,0,0,0,0
71,1686,0,0,0,0,2201,0,0,0,0,0,0
72,0,1341,106,0,0,2122,0,0,0,0,0,0
73,0,1358,104,0,0,2243,0,0,0,0,0,0
74,0,1045,91,0,0,1797,0,0,0,0,0,0
75,0,1517,122,0,0,2423,0,0,0,0,0,0
76,0,1761,155,0,0,2986,0,0,0,0,0,0
77,0,1277,130,0,0,2201,0,0,0,0,0,0
78,0,0,0,0,0,2122,0,0,0,0,0,0
79,0,0,0,0,0,2243,0,0,0,0,0,0
80,0,0,0,0,0,1797,0,0,0,0,0,0
81,0,0,0,0,0,2423,0,0,0,0,0,0
82,0,0,0,0,0,2986,0,0,0,0,0,0
83,0,0,0,0,0,2201,0,0,0,0,0,0
84,0,1341,0,0,0,2122,0,0,0,0,0,0
85,0,1358,0,0,0,2243,0,0,0,0,0,0
86,0,1045,0,0,0,1797,0,0,0,0,0,0
87,0,1517,0,0,0,2423,0,0,0,0,0,0
88,0,1761,0,0,0,2986,0,0,0,0,0,0
89,0,1277,0,0,0,2201,0,0,0,0,0,0
90,0,0,0,240,0,2122,0,0,0,0,760,0
91,0,0,0,252,0,2243,0,0,0,0,837,0
92,0,0,0,253,0,1797,0,0,0,0,614,0
93,0,0,0,270,0,2423,0,0,0,0,849,0
94,0,0,0,352,0,2986,0,0,0,0,1156,0
95,0,0,0,235,0,2201,0,0,0,0,740,0
