,ID
0,688130
1,518150
2,868360
3,491530
4,503820
5,606230
6,534550
7,743450
8,774171
9,397340
10,40990
11,292910
12,456750
13,264240
14,770100
15,108600
16,622650
17,60
18,358460
19,344130
20,444490
21,368720
22,340050
23,905300
24,274520
25,331870
26,882790
27,477290
28,448630
29,612470
30,460920
31,622720
32,485510
33,262280
34,569480
35,323720
36,24720
37,460950
38,673950
39,751780
40,962730
41,809140
42,362680
43,209080
44,221380
45,102600
46,936140
47,907470
48,889040
49,268500
50,202970
51,420060
52,1061090
53,481510
54,299250
55,262390
56,8190
57,233720
58,520440
59,512250
60,760060
61,893180
62,243970
63,209160
64,815370
65,387340
66,282900
67,418070
68,237850
69,557340
70,303390
71,313630
72,528670
73,688420
74,207140
75,352550
76,741670
77,776490
78,880940
79,289070
80,463150
81,293180
82,790850
83,250180
84,377160
85,33110
86,33120
87,731490
88,489830
89,254320
90,899440
91,391540
92,635260
93,317820
94,360830
95,24960
96,680320
97,508290
98,242050
99,233860
100,633230
101,400
102,6550
103,475550
104,420
105,504230
106,321960
107,369070
108,620980
109,238010
110,420290
111,104900
112,293320
113,33230
114,268750
115,250320
116,242130
117,438740
118,848350
119,215530
120,866800
121,244210
122,885240
123,219640
124,457210
125,410110
126,64000
127,270850
128,285190
129,737800
130,238090
131,360970
132,582160
133,508440
134,283160
135,666140
136,952860
137,12830
138,418340
139,684580
140,590380
141,113200
142,412210
143,813630
144,848450
145,307780
146,301640
147,606800
148,203350
149,266840
150,350810
151,485980
152,764510
153,705120
154,537200
155,692850
156,414340
157,518790
158,594570
159,690830
160,613010
161,793240
162,375450
163,238240
164,344740
165,828070
166,553640
167,955050
168,598700
169,420530
170,858810
171,535230
172,774861
173,410320
174,584400
175,221910
176,6870
177,674520
178,244450
179,41700
180,543460
181,742120
182,613100
183,590590
184,744190
185,39680
186,650000
187,568090
188,332570
189,578330
190,238370
191,445220
192,426790
193,314160
194,365360
195,533300
196,326460
197,291650
198,379720
199,607050
200,355150
201,602960
202,537430
203,416600
204,308060
205,555880
206,588650
207,942970
208,383870
209,836480
210,48000
211,293760
212,35720
213,250760
214,619400
215,367500
216,107410
217,312210
218,387990
219,428950
220,439190
221,568220
222,367520
223,994220
224,648120
225,412600
226,736190
227,973760
228,641990
229,279500
230,435150
231,824270
232,752590
233,357330
234,287700
235,668630
236,15320
237,318430
238,236510
239,629730
240,834530
241,596970
242,496620
243,1053680
244,388090
245,883710
246,560130
247,449540
248,228360
249,629770
250,572430
251,414740
252,252950
253,576540
254,275490
255,496680
256,17450
257,304170
258,447530
259,531510
260,367670
261,351290
262,1010750
263,201790
264,48190
265,298050
266,400450
267,1008710
268,242760
269,314450
270,840800
271,812140
272,33900
273,244850
274,269430
275,394360
276,461950
277,359550
278,105600
279,234630
280,234650
281,543900
282,238750
283,412830
284,382110
285,552100
286,40100
287,234670
288,900270
289,492720
290,251060
291,427190
292,464060
293,914620
294,292030
295,433340
296,675010
297,636100
298,435400
299,513230
300,312530
301,937170
302,609490
303,294100
304,492760
305,224480
306,285920
307,656610
308,271590
309,480490
310,310510
311,494840
312,732430
313,402710
314,427290
315,339230
316,312610
317,247080
318,218410
319,814380
320,384300
321,304430
322,683320
323,214340
324,369990
325,257350
326,361800
327,435530
328,281940
329,488790
330,611670
331,255320
332,329050
333,343390
334,269670
335,327030
336,281990
337,275850
338,505230
339,357780
340,720280
341,527770
342,288160
343,396710
344,409000
345,646570
346,302510
347,447920
348,245170
349,239030
350,976310
351,232890
352,337340
353,234940
354,359870
355,368070
356,1060300
357,427470
358,396750
359,644560
360,413150
361,351710
362,513510
363,290280
364,384490
365,589290
366,1070580
367,218620
368,427520
369,284160
370,429570
371,529920
372,503300
373,361990
374,847370
375,1046030
376,239120
377,927250
378,298520
379,632350
380,255520
381,290340
382,495140
383,632360
384,327220
385,48700
386,71230
387,636480
388,517710
389,960090
390,429660
391,648800
392,333420
393,431730
394,843380
395,323190
396,554620
397,269950
398,466560
399,298630
400,372360
401,654990
402,323220
403,794260
404,224920
405,841370
406,618140
407,437920
408,573090
409,411300
410,32420
411,587430
412,728740
413,310950
414,366250
415,552620
416,573100
417,251570
418,489140
419,448510
420,511680
421,265930
422,603850
423,427730
424,489170
425,329430
426,360150
427,394970
428,548570
429,351970
430,612070
431,411370
432,499440
433,204530
434,351990
435,274170
436,646910
437,208650
438,274190
439,784150
440,448280
441,266010
442,1064730
443,493340
444,433950
445,847660
446,921390
447,657200
448,249650
449,640820
450,487220
451,233270
452,773951
453,239430
454,313160
455,364360
456,233290
457,270150
458,718670
459,892760
460,354140
461,356190
462,663390
463,268130
464,528230
465,10090
466,55150
467,245620
468,292730
469,223100
470,270210
471,558990
472,323470
473,489360
474,530320
475,346010
476,391070
477,10150
478,716710
479,12200
480,493490
481,341940
482,524220
483,278460
484,241600
485,704450
486,10180
487,235460
488,606150
489,311240
490,42960
491,452570
492,227300
493,690150
494,325610
495,378860
496,42990
497,346110
